20140901,294555910.765956,314044749.5858966
20140902,292251041.6782503,280167887.1988575
20140903,281451491.26121324,285860744.6086623
20140904,262407121.21857688,265535317.6096919
20140905,223582325.45943466,253188793.11894274
20140906,142208679.45272073,198877647.936553
20140907,146464648.44650972,183275134.08860612
20140908,261552557.093122,271955911.25126356
20140909,326175243.4733399,280632403.7904928
20140910,244231579.28776345,253954978.3066134
20140911,260183342.9883171,262528573.69594958
20140912,221358547.22912416,250182049.20516184
20140913,164888872.9509606,189414278.37310547
20140914,174438254.64270607,208290544.17499146
20140915,290108354.30522096,308031261.7582459
20140916,287803485.21759593,274154399.3712305
20140917,277003934.800507,279847256.78099304
20140918,257959564.75790843,259521829.78209764
20140919,219134768.99876168,247175305.2913271
20140920,162665094.72062963,186407534.45926046
20140921,172214476.4123247,205283800.26117626
20140922,287884576.0748044,305024517.84442025
20140923,285579706.9871999,271147655.45737153
20140924,274780156.5702059,276840512.86720216
20140925,255735786.5275742,256515085.8683006
20140926,217745535.49327627,270436943.91558063
20140927,177681223.4006903,208958700.13338846
20140928,228360988.20026606,289825094.9591741
20140929,214840434.8614372,263384934.63611782
20140930,290793242.7239594,271815055.4306919
